system:index,Area,Ciudad,mean,.geo
00000000000000000038,8.899320732656715,limache,0.0021951425313420604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,12.139315544708376,linares,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,3.463604775416412,llanquihue,12.010059956503957,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,29.982429946441258,lo barnechea,0.3593152791554981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,8.137278721114006,lo espejo,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,3.488016162162971,lo miranda,0.11604851788547872,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,6.536182798592274,lo prado,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,1.747261032703301,longavi,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,8.981506955737984,los andes,0.7474495535114722,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,18.940605995596687,los angeles,0.029200773731188283,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,2.947788678098493,los vilos,9.655652117498732,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,5.47515222361787,lota,11.689097029428781,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,4.516558839597558,machali,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,12.793129451359958,macul,0.0450304382892687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,48.30042767375794,maipu,0.009454951371603038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,7.773059742812639,mejillones,14.101409091103449,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,8.055155691364321,melipilla,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,1.880116798143056,monte aguila,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,1.296106275905345,monte patria,0.046268632481408146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,3.170223753330901,nacimiento,1.2338954991976934,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,3.386578438162588,nueva imperial,2.0921531503288993,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,16.91620414095213,nunoa,0.004840179872301454,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,24.37518593834088,osorno,1.0718032717088408,"{""type"":""MultiPoint"",""coordinates"":[]}"
