system:index,Area,Ciudad,median,.geo
00000000000000000037,0.659196807499057,lebu,0.019693167666797715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,8.899320732656715,limache,0.02190241081756547,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,12.139315544708376,linares,0.020803349165055336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,3.463604775416412,llanquihue,0.019106045737862586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,29.982429946441258,lo barnechea,0.02237216103821993,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,8.137278721114006,lo espejo,0.022026529562328638,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,3.488016162162971,lo miranda,0.02081200313218895,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,6.536182798592274,lo prado,0.02223039043123935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,1.747261032703301,longavi,0.020424610003829002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,8.981506955737984,los andes,0.02001858431815543,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,18.940605995596687,los angeles,0.019716618944217158,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,2.947788678098493,los vilos,0.021250440516930272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,5.47515222361787,lota,0.01988018127912691,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,4.516558839597558,machali,0.020578280352205502,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,12.793129451359958,macul,0.022295522103972672,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,48.30042767375794,maipu,0.02178279573008469,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,7.773059742812639,mejillones,0.02382024757847509,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,8.055155691364321,melipilla,0.02129801699436833,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,1.880116798143056,monte aguila,0.019710417249620738,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,1.296106275905345,monte patria,0.020207753101707124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,3.170223753330901,nacimiento,0.019848724720539643,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,3.386578438162588,nueva imperial,0.01989138119996073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,16.91620414095213,nunoa,0.022697591421452043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,24.37518593834088,osorno,0.01947537209189957,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,8.643725180495498,ovalle,0.020910219522193074,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,5.626899426647356,padre las casas,0.019651345906132874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,2.347075002365824,panguipulli,0.01929611665012599,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,8.503028067901381,pedro aguirre cerda,0.022284541407566784,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,25.25724040120255,penalolen,0.022014437010571975,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,6.172045965923205,penco,0.02033744383698213,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,3.817117502800241,pitrufquen,0.019590043471006215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,1.98992436997667,porvenir,0.017888850532472134,"{""type"":""MultiPoint"",""coordinates"":[]}"
